M,N,category,cusparse_cold_exec_ms,cusparse_ms_cold,cusparse_ms_warm,cusparse_preprocess_ms,dataset,dtc_cold_exec_ms,dtc_correct,dtc_end_to_end_ms,dtc_failure_class,dtc_failure_detail,dtc_hard_fail,dtc_max_error,dtc_mean_kernel_ms,dtc_ms,dtc_ms_cold,dtc_ms_warm,dtc_preprocess_ms,dtc_reorder_method,dtc_reorder_ms,dtc_reorder_version,dtc_selection_variant_ms,dtc_soft_fail,dtc_speedup_vs_cusparse_cold,dtc_speedup_vs_cusparse_warm,dtc_std_kernel_ms,dtc_tolerance,dtc_variant,dtc_variant_count,nnz,pyg_cold_exec_ms,pyg_correct,pyg_hard_fail,pyg_max_error,pyg_ms_cold,pyg_ms_warm,pyg_preprocess_ms,pyg_soft_fail,pyg_speedup_vs_cusparse_cold,pyg_speedup_vs_cusparse_warm,pyg_tolerance
1157828,128,Community,4.082672119140625,5.760347843170166,4.072089672088623,1.6776758432388306,com-youtube,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,5975248,15.478895950317384,True,False,0.0017547607421875,16.58814195189625,15.437911376953124,1.1092460015788674,False,0.34725696584189647,0.26377205909911783,0.16957004452437938
1157828,256,Community,8.13015079498291,10.693233489990234,8.12171745300293,2.5630831718444824,com-youtube,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,5975248,30.4888032913208,True,False,0.002471923828125,31.611022011004387,30.4412255859375,1.1222187196835876,False,0.3382754751259773,0.2667999496299783,0.16957004452437938
3327,64,Mixed/Irregular,0.018943998962640762,1.3040095567703247,0.013875199481844902,1.2850655317306519,CiteSeer,13.23971176147461,True,13.334876160621643,,,False,0.0061798095703125,13.221529483795166,13.221529483795166,2774.2213048096746,13.334876160621643,2760.9815930482,DTC_IDENTITY_ORDER,0.0,identity-v1,2756.630468997173,False,0.0004700452536030777,0.0010405195604904717,0.1503043077694336,0.099498743710662,nobal_float2_nonsplit,5,9104,0.05469119995832443,True,False,6.67572021484375e-06,0.322220384888351,0.019148800373077392,0.26752918493002653,False,4.046949286657213,0.7245988893044701,0.0099498743710662
3327,128,Mixed/Irregular,0.022313600406050682,1.0900909900665283,0.0141056003049016,1.067777395248413,CiteSeer,13.79417610168457,True,14.112640013694763,,,False,0.005419731140136719,13.896755170822143,13.896755170822143,5004.7104370854795,14.112640013694763,4990.916260983795,DTC_IDENTITY_ORDER,0.0,identity-v1,4986.556167947128,False,0.00021781299912754769,0.0009995011770450935,0.16569455459595372,0.099498743710662,nobal_float2_split,7,9104,0.06924479901790619,True,False,7.62939453125e-06,0.3825268818065524,0.032040960788726806,0.3132820827886462,False,2.8497108096517985,0.4402364959625203,0.0099498743710662
3327,256,Mixed/Irregular,0.024883199483156204,1.052732229232788,0.019353600218892097,1.0278490781784058,CiteSeer,19.14022445678711,True,18.798064670562745,,,False,0.007346153259277344,19.06421766281128,19.06421766281128,7261.729712500237,18.798064670562745,7242.58948804345,DTC_IDENTITY_ORDER,0.0,identity-v1,7238.196025020443,False,0.00014496989986017105,0.0010295528054650915,0.26932183356787165,0.099498743710662,nobal_float2_split,7,9104,0.09648960083723068,True,False,6.67572021484375e-06,0.3888610936701298,0.061327362060546876,0.2923714928328991,False,2.70721922652879,0.3155785536606776,0.0099498743710662
3327,512,Mixed/Irregular,0.045977599918842316,1.2691344022750854,0.0373811200261116,1.2231568098068237,CiteSeer,27.428192138671875,True,29.30366467475891,,,False,0.0077877044677734375,28.696371173858644,28.696371173858644,10396.755998075008,29.30366467475891,10369.327805936337,DTC_IDENTITY_ORDER,0.0,identity-v1,10364.930948009714,False,0.0001220702306094391,0.0012756465937282689,1.7262656367292892,0.099498743710662,nobal_float2_split,7,9104,0.1502367988228798,True,False,1.33514404296875e-05,0.4213537060655653,0.11681792259216309,0.27111690724268556,False,3.0120404401465026,0.3199947336558729,0.0099498743710662
89250,64,Mixed/Irregular,0.25824639201164246,1.4930568933486938,0.25165826082229614,1.234810471534729,Flickr,847.4541625976562,True,847.1342449951172,,,False,0.052410125732421875,846.547250366211,846.547250366211,90041.01096250024,847.1342449951172,89193.55679990258,DTC_IDENTITY_ORDER,0.0,identity-v1,89179.4117129175,False,1.6581965011149348e-05,0.00029707010702152253,0.33469489254776763,0.7365459931328118,nobal_float2_nonsplit,5,899756,1.053983998298645,True,False,0.000396728515625,1.4076025698333978,1.0064588928222655,0.35361857153475285,False,1.0607091272399498,0.25004325821654544,0.07365459931328118
89250,128,Mixed/Irregular,0.5594047904014587,1.7360608577728271,0.5536205172538757,1.1766561269760132,Flickr,959.0302124023438,True,957.5633926391602,,,False,0.04211616516113281,957.65380859375,957.65380859375,157382.46801743377,957.5633926391602,156423.43780503143,DTC_IDENTITY_ORDER,0.0,identity-v1,156410.33829003572,False,1.1030840217733262e-05,0.0005781554741018564,0.3812853597440293,0.7365459931328118,nobal_float2_split,7,899756,1.7343487977981566,True,False,0.0002593994140625,2.0848113033920526,1.6881100463867187,0.3504625055938959,False,0.8327184599144308,0.3279528597314267,0.07365459931328118
89250,256,Mixed/Irregular,1.1053760051727295,2.327458381652832,1.0985472202301025,1.222082257270813,Flickr,1355.1380615234375,True,1353.8875732421875,,,False,0.0429840087890625,1353.8825622558593,1353.8825622558593,232896.2230225578,1353.8875732421875,231541.08496103436,DTC_IDENTITY_ORDER,0.0,identity-v1,231526.84677601792,False,9.993542838294117e-06,0.0008114021001015503,0.6774515792953895,0.7365459931328118,nobal_float2_split,7,899756,3.0818912506103517,True,False,0.00048065185546875,3.4431714404374363,3.0490625,0.36128018982708454,False,0.67596354753603,0.3602901613955446,0.07365459931328118
89250,512,Mixed/Irregular,2.18255352973938,3.483438491821289,2.175851583480835,1.3008849620819092,Flickr,,,,timeout,timed out after 600s,,,,nan,,,,DTC_IDENTITY_ORDER,0.0,identity-v1,,,,,,,,,899756,5.8101279735565186,True,False,0.0006103515625,6.199876645579934,5.76974853515625,0.38974867202341557,False,0.5618560966539117,0.37711376331618773,0.07365459931328118
