dataset,M,nnz,avg_nnz_per_row,cv_d,N,router_kernel,matched_rule,router_ms,router_speedup,oracle_kernel,oracle_ms,oracle_speedup,router_oracle_ratio,is_hit,feasible
web-NotreDame,325729,1497134,4.59626,4.67265,256,COMMUNITY_TC_TF32,R3,1.644406,0.98174,TC_DIRECT_TF32,1.213466,1.33039,0.73794,False,True
web-NotreDame,325729,1497134,4.59626,4.67265,512,COMMUNITY_TC_TF32,R3,3.041756,0.99505,TC_DIRECT_TF32,2.322785,1.30305,0.76363,False,True
wiki-Talk,2394385,5021410,2.09716,47.643,64,ZERO_OVERHEAD_CSR,R1,2.136515,1.18274,ZERO_OVERHEAD_CSR,2.136515,1.18274,1.0,True,True
wiki-Talk,2394385,5021410,2.09716,47.643,128,ZERO_OVERHEAD_CSR,R1,4.170542,1.11524,ZERO_OVERHEAD_CSR,4.170542,1.11524,1.0,True,True
wiki-Talk,2394385,5021410,2.09716,47.643,256,ZERO_OVERHEAD_CSR,R1,8.415483,1.05064,ZERO_OVERHEAD_CSR,8.415483,1.05064,1.0,True,True
wiki-Talk,2394385,5021410,2.09716,47.643,512,ZERO_OVERHEAD_CSR,R1,,,CUSPARSE,17.272566,1.0,,,False
as-Skitter,1696415,22190596,13.08088,10.46265,64,ZERO_OVERHEAD_CSR,R1,4.300867,1.07097,SEGMENT_HYBRID,3.638359,1.26598,0.84596,False,True
as-Skitter,1696415,22190596,13.08088,10.46265,128,ZERO_OVERHEAD_CSR,R1,8.276281,1.18717,TC_DIRECT,6.783181,1.44849,0.81959,False,True
as-Skitter,1696415,22190596,13.08088,10.46265,256,ZERO_OVERHEAD_CSR,R1,17.603804,1.11425,TC_DIRECT,13.086069,1.49893,0.74337,False,True
as-Skitter,1696415,22190596,13.08088,10.46265,512,ZERO_OVERHEAD_CSR,R1,37.177842,1.05601,TC_DIRECT,25.878062,1.51712,0.69606,False,True
cit-Patents,3774768,16518948,4.37615,1.77809,64,TC_DIRECT_TF32,default,6.229453,1.1402,TC_DIRECT,5.567114,1.27585,0.89368,False,True
cit-Patents,3774768,16518948,4.37615,1.77809,128,TC_DIRECT_TF32,default,12.445051,1.1421,TC_DIRECT,11.156516,1.274,0.89646,False,True
cit-Patents,3774768,16518948,4.37615,1.77809,256,TC_DIRECT_TF32,default,24.88113,1.1414,TC_DIRECT,22.479646,1.26333,0.90348,False,True
cit-Patents,3774768,16518948,4.37615,1.77809,512,TC_DIRECT_TF32,default,,,CUSPARSE,56.788193,1.0,,,False
